REFERENCE NAME,PROFILE CONTENTS,PROFILE CONTENTS TRANSLATION
Test,"This is a test psychological profile."
Orym,"Commander White is stubborn and stuck in his ways. He seems to have a grudge against Ruby Tymora and will react negatively if you try to defend her. However, he will respect you if you defend yourself against personal attacks."
Garrick,""
Theodore,""
Valentina,"Valentina Ianus is extremely on edge due to some aspect of the investigation. For whatever reason, she's hiding something that occurred when she and her sister discovered the body. It's clear she fears the repercussions of what happened, but she may respond to even worse threats."
Mosourika,"Mosourika Tudor's criminal past is a sore subject for her. She knew you ten years ago and she clearly trusts you. Use logic to explain why you need this information. If logic isn't possible, sincerity may be enough because of your shared past."
Lloyd,""
Aria,"Steelwind suspects that Miriam Frega is involved in this crime somehow. Miriam belongs to a Pillar Family, and casting suspicion on her could cause them to intervene. The Prosecutor wants to avoid that outcome at all costs. That fear could be used against her."
AriaC5,"Steelwind acts for the greater good of the kingdom, regardless of the amount of suffering she must endure in doing so. She cares deeply for Aster and will do anything to protect him. However, she’s still a rational person and will be receptive to logical arguments."
Laefe,"Laefe Frega doesn’t know you very well, and she has no reason to trust you. She believes in Beatrice’s innocence over everything else. She’s usually sincere, so it’s unlikely that she is actually involved in her father’s murder. She might react well if you respond with a similar sincerity."
LaefeEye,""
Harold,""
